CompanyName,OrganizationNumber,Status,Type
"SONS, INC.",149960,I-Inactive,KCO-Kentucky Corporation
sons of the american legion post 11 Corp.,918520,A-Active - Good,KCO-Kentucky Corporation
"THE SONS OF THE AMERICAN LEGION, SQUADRON NO. 4, INC.",534239,A-Active - Good,KCO-Kentucky Corporation
"THE SONS OF THE AMERICAN REVOLUTION PATRIOTIC AND EDUCATIONAL FOUNDATION, INC.",344352,I-Inactive,KCO-Kentucky Corporation
"SONS OF AMVETS-GREENUP POST #95, INC.",646128,I-Inactive,KCO-Kentucky Corporation
SONS OF AMVETS SQUADRON 126 Inc.,988400,A-Active - Good,KCO-Kentucky Corporation
Sons of Amvets Squadron 127 Inc.,791912,I-Inactive,KCO-Kentucky Corporation
SONS OF BLUEGRASS,140789,I-Inactive,GPA-General Partnership Assumed Name
"SONS OF THE BRANCH, LLC",865330,A-Active - Good,KLC-Kentucky Limited Liability Company
Sons of Cernunnos mc Ltd. Co.,1064840,A-Active - Good,KLC-Kentucky Limited Liability Company
Sons of Combat Inc.,797833,I-Inactive,KCO-Kentucky Corporation
"SONS OF CONFEDERATE VETERANS, INC",676259,I-Inactive,KCO-Kentucky Corporation
"THE SONS OF CONFEDERATE VETERANS, KENTUCKY DIVISION, INC.",281257,A-Active - Good,KCO-Kentucky Corporation
"Sons Construction, LLP",1045271,I-Inactive,KNL-Kentucky RUPA Limited Liability Partnership
"SON'S CREATIONS, INCORPORATED",277654,I-Inactive,KCO-Kentucky Corporation
"SONS OF THE CUMBERLAND, INC.",422153,A-Active - Good,KCO-Kentucky Corporation
"SONS & DAUGHTERS, INC.",320951,I-Inactive,KCO-Kentucky Corporation
"THE SONS AND DAUGHTERS OF ERIN, INC.",54469,I-Inactive,KCO-Kentucky Corporation
"SONS & DAUGHTERS HOSPITALITY, INC.",667703,I-Inactive,KCO-Kentucky Corporation
"SONS AND DAUGHTERS OF SUBMARINE VETERANS AND WIVES OF WWII, INC.",796578,A-Active - Good,KCO-Kentucky Corporation
"THE SONS OF DIXIE CHORUS, NORTHERN KENTUCKY CHAPTER OF S.P.E.B.S.Q.S.A. INC.",292124,I-Inactive,KCO-Kentucky Corporation
"THE SONS OF DIXIE CHORUS, NORTHERN KENTUCKY CHAPTERS OF S.P.E.B.S.Q.S.A., INC.",47193,I-Inactive,KCO-Kentucky Corporation
"Son Seekers BBQ Team, LLC",760303,A-Active - Good,KLC-Kentucky Limited Liability Company
SONSETT CORPORATION,333543,I-Inactive,KCO-Kentucky Corporation
"SONS FAMILY, INC.",515256,I-Inactive,KCO-Kentucky Corporation
The Sons Family LLC,967581,A-Active - Good,KLC-Kentucky Limited Liability Company
SONS OF GOD PEACE KEEPERS INC.,931993,I-Inactive,KCO-Kentucky Corporation
"SON SHINE APARTMENTS, LLC",559538,A-Active - Good,KLC-Kentucky Limited Liability Company
Sonshine Broadcasting Company Ltd.,861015,A-Active - Good,KCO-Kentucky Corporation
"SONSHINE BUILDERS, INC.",413468,I-Inactive,KCO-Kentucky Corporation
"SONSHINE BUILDERS, L.L.C.",571762,I-Inactive,KLC-Kentucky Limited Liability Company
SONSHINE CARDS & CRAFTS,205276,I-Inactive,GPA-General Partnership Assumed Name
"SONSHINE CHILDREN CENTER, INC.",197957,A-Active - Good,KCO-Kentucky Corporation
"SON-SHINE CHRISTIAN SOCIETY, INC.",604191,A-Active - Good,KCO-Kentucky Corporation
SONSHINE CLEANING SOLUTIONS LLC,709123,I-Inactive,KLC-Kentucky Limited Liability Company
"SONSHINE CLOWN PRODUCTIONS, INC.",335936,I-Inactive,KCO-Kentucky Corporation
"SONSHINE ENTERPRISES, LLC",578097,I-Inactive,KLC-Kentucky Limited Liability Company
"SONSHINE FRIENDS DAY CARE, INC.",337603,I-Inactive,KCO-Kentucky Corporation
"SON-SHINE GOSPEL TABERNACLE, INC.",604189,A-Active - Good,KCO-Kentucky Corporation
"SONSHINE INDUSTRIES, LLC",639695,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONSHINE LEARNING CENTER, INC",854737,I-Inactive,KCO-Kentucky Corporation
"SONSHINE MINISTRIES, INC.",171756,I-Inactive,KCO-Kentucky Corporation
"SONSHINE MINISTRIES AND EVANGELISTIC OUTREACH, INC.",218258,A-Active - Good,KCO-Kentucky Corporation
SONSHINE NATURAL,546390,I-Inactive,ASC-Assumed Name Corporation
Sonshine Natural,1033828,A-Active,ALC-Assumed Name for LLC
"SONSHINE POOLS, INC.",176197,I-Inactive,KCO-Kentucky Corporation
"SONSHINE PROPERTIES, LLC",568908,I-Inactive,KLC-Kentucky Limited Liability Company
Sonshine Properties LLC,975508,A-Active - Good,KLC-Kentucky Limited Liability Company
"Sonshine Realty, LLC",830805,A-Active - Good,KLC-Kentucky Limited Liability Company
SONSHINE SENIOR SERVICES INC.,490754,I-Inactive,KCO-Kentucky Corporation
"Sonshine Services, LLC",976199,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONSHINE SOLUTIONS, LLC",705859,I-Inactive,KLC-Kentucky Limited Liability Company
"SONSHINE SOUL CHRISTIAN MINISTRIES, INC.",907695,A-Active - Good,KCO-Kentucky Corporation
SON SHINE STABLES INC.,547568,I-Inactive,KCO-Kentucky Corporation
"SON-SHINE VITAMINS, HERBS & WATER STORE, INC.",307664,I-Inactive,KCO-Kentucky Corporation
"SON OF SIAM, LLC",687624,A-Active - Good,KLC-Kentucky Limited Liability Company
"Sons of Independence, LLC",1016058,A-Active - Good,KLC-Kentucky Limited Liability Company
"Sonsio International, Inc.",987802,A-Active - Good,FCO-Foreign Corporation
SONS OF ISSACHAR ACADEMY,300821,A-Active,ASC-Assumed Name Corporation
"SONS OF JOY, LLC",705228,A-Active - Good,KLC-Kentucky Limited Liability Company
"THE SONS OF LEXINGTON SOCIAL AND CHARITABLE CLUB, INC.",47194,I-Inactive,KCO-Kentucky Corporation
SONS OF LIBERTY INC.,173960,A-Active - Good,KCO-Kentucky Corporation
SONS OF LIBERTY ARMS COMPANY LLC,804003,I-Inactive,KLC-Kentucky Limited Liability Company
SONSMITH LLC,827143,I-Inactive,KLC-Kentucky Limited Liability Company
"SONS OF NORWAY, INC.",583386,A-Active - Good,FCO-Foreign Corporation
SONS OF NORWAY,583386,F-Real Name of foreign org. which filed under a fictitious name,NCR-Name Cross Reference
"SONSON ENERGY, LLC",637165,I-Inactive,KLC-Kentucky Limited Liability Company
"Sonsrena Apartments of KY, LLC",1067253,A-Active - Good,FLC-Foreign Limited Liability Company
SONSRENA APTS. # LTD.,48542,I-Inactive,LPA-LP From Assumed Name
SONSRENA II LIMITED PARTNERSHIP,287781,I-Inactive,KLP-Kentucky Limited Partnership
"SONS OF THUNDER, LLC",641182,I-Inactive,KLC-Kentucky Limited Liability Company
"SON'S OF THUNDER C.M.C., INC.",437031,I-Inactive,KCO-Kentucky Corporation
"SONS OF THUNDER FITNESS CENTER, L.L.C.",644449,I-Inactive,KLC-Kentucky Limited Liability Company
"SONS OF THUNDER MINISTRIES, INC.",473784,I-Inactive,KCO-Kentucky Corporation
"SONS OF ZION MINISTRIES, INC.",418210,I-Inactive,KCO-Kentucky Corporation
"SON, LLC",439743,A-Active - Good,KLC-Kentucky Limited Liability Company
SONA CORPORATION INC.,655410,I-Inactive,KCO-Kentucky Corporation
SONA LLC,988503,I-Inactive,KLC-Kentucky Limited Liability Company
"SONABLAST! RECORDS, LLC",655829,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONABLAST! SONGS, LLC",655831,A-Active - Good,KLC-Kentucky Limited Liability Company
"SON OF A CARPENTER, LLC",708095,A-Active - Good,KLC-Kentucky Limited Liability Company
SONA CARRYOUT,830524,I-Inactive,ALC-Assumed Name for LLC
"SONA DISTRIBUTORS, INC.",188065,I-Inactive,KCO-Kentucky Corporation
SON OF A DITCH,840215,A-Active,ALC-Assumed Name for LLC
"SONA HOTEL, LLC",636326,I-Inactive,KLC-Kentucky Limited Liability Company
"SONAL ENTERPRISES, INC.",632538,I-Inactive,KCO-Kentucky Corporation
Sonals Kitchen Limited Liability Company,1020091,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONANCE, LLC",636394,I-Inactive,KLC-Kentucky Limited Liability Company
"SONARA, LLC",597761,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONA RENTAL AND LEASING, INC.",188065,I-Inactive,ASC-Assumed Name Corporation
"SONA RENTAL AND LEASING, INC.",193613,I-Inactive,KCO-Kentucky Corporation
"Sonar Science, LLC",880416,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONART, INC.",265355,I-Inactive,KCO-Kentucky Corporation
Sonas LLC,930914,I-Inactive,KLC-Kentucky Limited Liability Company
"Sonas, LLC",1068158,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONATA PLASTIC SURGERY, PLLC",751327,I-Inactive,KLC-Kentucky Limited Liability Company
SONAT EXPLORATION COMPANY,197730,I-Inactive,FCO-Foreign Corporation
"SONATORREK MEDIA GROUP, INC.",536835,I-Inactive,KCO-Kentucky Corporation
"SONATYPE, INC.",881268,A-Active - Good,FCO-Foreign Corporation
"SONBANKS BROKERAGE, INC.",569013,I-Inactive,KCO-Kentucky Corporation
SONBANKS LOGISTICS MANAGEMENT,569013,I-Inactive,ASC-Assumed Name Corporation
"SON-BEAM LEASING, LLC",629969,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONBLEST HOME CARE, INC.",573033,I-Inactive,FCO-Foreign Corporation
SONBURN LLC,512301,I-Inactive,FLC-Foreign Limited Liability Company
SONBURN LIMITED PARTNERSHIP,717616,I-Inactive,KNP-Kentucky ULPA Limited Partnership
"SONC.A.R.E. MINISTRIES, INC.",733691,I-Inactive,KCO-Kentucky Corporation
SONCHASERS CLOTHING CO.,1052039,A-Active,KNG-Kentucky RUPA Partnership
SONCO INCORPORATED,284734,I-Inactive,KCO-Kentucky Corporation
"SONCOAL, INC.",346455,I-Inactive,KCO-Kentucky Corporation
"SONDAY ENTERPRISES, LLC",663426,I-Inactive,KLC-Kentucky Limited Liability Company
"SONDEN INVESTMENTS, LLC",584552,A-Active - Good,KLC-Kentucky Limited Liability Company
"Sonder Communities, LLC",1034736,A-Active - Good,KLC-Kentucky Limited Liability Company
Sonder Contracting Services LLC,951702,I-Inactive,KLC-Kentucky Limited Liability Company
Sondergeld Enterprises L.L.C.,918405,I-Inactive,KLC-Kentucky Limited Liability Company
SONDERGELD MECHANICAL INC.,329438,I-Inactive,KCO-Kentucky Corporation
Sondergeld Property Management LLC,1072434,A-Active - Good,KLC-Kentucky Limited Liability Company
SONDERGELD REAL ESTATE LLC,554493,A-Active - Good,KLC-Kentucky Limited Liability Company
sondergeld & skaggs properties L.L.C.,1042957,I-Inactive,KLC-Kentucky Limited Liability Company
"SONDEX, INC.",412085,A-Active - Good,KCO-Kentucky Corporation
"Sondex Equipment Holding Co., LLC",956996,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONDEX PROPERTIES, INC.",917568,A-Active - Good,KCO-Kentucky Corporation
"SONDRA YOUNG, INC.",731201,I-Inactive,KCO-Kentucky Corporation
"SONEHTRAP, INC.",42641,I-Inactive,KCO-Kentucky Corporation
"Sonendo, Inc.",1010568,A-Active - Good,FCO-Foreign Corporation
Son Enterprise LLC,834801,I-Inactive,KLC-Kentucky Limited Liability Company
"SON ENTERPRISES, LLC",510046,I-Inactive,KLC-Kentucky Limited Liability Company
SONESTA LOGISTICS TRANSPORT LLC,1039940,I-Inactive,KLC-Kentucky Limited Liability Company
"SONETCOVE TECHNOLOGIES, LLC",640055,A-Active - Good,KLC-Kentucky Limited Liability Company
SONETICS CORPORATION,559622,A-Active - Good,FCO-Foreign Corporation
SONETYPE LLC,582619,I-Inactive,KLC-Kentucky Limited Liability Company
"SON EVERGREEN CLEANERS, INC.",549690,A-Active - Good,KCO-Kentucky Corporation
SONEX GROUP L.C.,573486,I-Inactive,KLC-Kentucky Limited Liability Company
SONFAST CORPORATION,211494,I-Inactive,FCO-Foreign Corporation
"SON FOODS, INC.",409446,I-Inactive,KCO-Kentucky Corporation
"Songbird Catering Company, LLC",830045,I-Inactive,KLC-Kentucky Limited Liability Company
"SONG BIRD COAL CO., INC.",214945,I-Inactive,KCO-Kentucky Corporation
"SONGBIRD STUDIOS, INC.",643574,I-Inactive,KCO-Kentucky Corporation
SONG OF THE BLUEGRASS,30838,I-Inactive,ASC-Assumed Name Corporation
"SONGCASE MUSIC, LLC",515084,I-Inactive,KLC-Kentucky Limited Liability Company
SONGER CORPORATION,179590,I-Inactive,FCO-Foreign Corporation
SONGER CONSTRUCTION CORPORATION,179590,I-Inactive,FCO-Foreign Corporation
"SONGER CONSULTING, LLC",664216,I-Inactive,KLC-Kentucky Limited Liability Company
"Song Film, LLC",838839,A-Active - Good,KLC-Kentucky Limited Liability Company
"Song Film 2, LLC",859391,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONG OF GRACE MINISTRIES, INC.",572819,I-Inactive,KCO-Kentucky Corporation
"SON GLOW COALS, INCORPORATED",221075,I-Inactive,KCO-Kentucky Corporation
"SONGPRESS, INC.",589798,A-Active - Good,KCO-Kentucky Corporation
"SONGS THE BODY KNOWS, LLC",638078,I-Inactive,KLC-Kentucky Limited Liability Company
SONGSFORSERMONS.ORG LLC,862361,I-Inactive,KLC-Kentucky Limited Liability Company
SONG'S KITCHEN,977747,A-Active,ASC-Assumed Name Corporation
SONG SPA LLC,784626,A-Active - Good,KLC-Kentucky Limited Liability Company
Song Sparrow Solar LLC,1032340,A-Active - Good,KLC-Kentucky Limited Liability Company
SONGS OF PRAISE AND INSPIRATION,202236,I-Inactive,ASC-Assumed Name Corporation
SONG'S RESTAURANT,845457,A-Active,ALC-Assumed Name for LLC
"SONGS FOR SEBA, LLC",579644,I-Inactive,KLC-Kentucky Limited Liability Company
SONGVILLE PUBLISHING LLC,712936,I-Inactive,KLC-Kentucky Limited Liability Company
"Songwood Haven Farm, LLC",1058969,A-Active - Good,KLC-Kentucky Limited Liability Company
"Songwriter Central, LLC",765553,I-Inactive,KLC-Kentucky Limited Liability Company
THE SONGWRITER'S BEST FRIEND,214982,I-Inactive,ASC-Assumed Name Corporation
"SON-HUI, LLC",665196,I-Inactive,KLC-Kentucky Limited Liability Company
"Sonia Chopra, M.D., P.S.C.",882226,I-Inactive,KPS-Kentucky Professional Services Corp
"SONIA ENTERPRISES, LLC",548828,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONIA H. WOODALL & ASSOCIATES, INC.",174849,A-Active - Good,KCO-Kentucky Corporation
SONIA JAMILA UMER Corp,934878,I-Inactive,KCO-Kentucky Corporation
"SONIA LEE'S, INC,",486012,I-Inactive,ASC-Assumed Name Corporation
"SONIA LEE'S, INC.",486012,I-Inactive,KCO-Kentucky Corporation
"SONIAS 24-7 TAXI CAB SERVICE, LLC.",834514,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIAT STREET PRODUCTIONS, INC.",808269,I-Inactive,KCO-Kentucky Corporation
"SONIC, LTD",47181,I-Inactive,KCO-Kentucky Corporation
