DepartmentID,BusinessName,Status
D19244052,DAUGHTER OF A KING,Incorporated
D04049227,"DAUGHTER & DAD, INC.",Forfeited
T00141617,DAUGHTER FOR THE DAY,Forfeited
D10478139,DAUGHTER FOR THE DAY INC,Incorporated
W12650768,"DAUGHTER FOR HIRE, LLC",Active
T00346636,DAUGHTERLY CARE,Forfeited
T00255131,DAUGHTERLY CARE,Forfeited
D01372069,"DAUGHTER OF CHARITY EASTERN COOPERATIVE SERVICES, INC.",Old Name
T00366905,"DAUGHTER OF FAITH, HEALTH AND SPIRITUAL HEALING MINISTRY",Forfeited
W18879700,DAUGHTER OF THE KING LLC,Active
D15873441,"DAUGHTER OF THUNDER, INC.",Active
T00359776,DAUGHTER OF THE WATER,Active
D18657726,DAUGHTER OF ZION MINISTRIES INCORPORATED,Incorporated
T00310915,DAUGHTERS DELIGHT,Forfeited
F03169711,"DAUGHTERS FOUR CONSTRUCTION COMPANY, INC.",Forfeited
W13408166,"DAUGHTERS HOME HEALTH AIDES, LLC",Forfeited
W13505094,"DAUGHTERS HOME HEALTH AIDES, LLC",Forfeited
T00109430,DAUGHTERS IN CHRIST WORLD WIDE,Forfeited
W18446013,DAUGHTERS NOT FORSAKEN LLC,Active
W19261122,"DAUGHTERS OF A LEGACY PROPERTIES, LLC",Active
D13720214,"DAUGHTERS OF THE BRITISH EMPIRE IN MARYLAND, INC.",Incorporated
D01372069,"DAUGHTERS OF CHARITY - HEALTH SYSTEM EAST, INC.",Old Name
D02363091,"DAUGHTERS OF CHARITY HEALTH SYSTEM-SOUTHEAST, INC.",Old Name
F14271399,"DAUGHTERS OF CHARITY MINISTRIES, INC. A/K/A DAUGHTERS OF CHA",Incorporated
F04791828,"DAUGHTERS OF CHARITY NATIONAL HEALTH SYSTEM, INC.",Dissolved
D01372069,"DAUGHTERS OF CHARITY NATIONAL HEALTH SYSTEM - EAST, INC.",Merged
D02363091,"DAUGHTERS OF CHARITY NATIONAL HEALTH SYSTEM - SOUTHEAST, INC",Merged
D14651400,"THE DAUGHTERS OF DEBORAH, INC.",Forfeited
