DepartmentID,BusinessName,Status
W17639642,"S.O.N., LLC",Forfeited
D01074145,SONA CORP.,Forfeited
D01484674,"SONA, CORP.",Forfeited
D01484674,"SONA, INC.",Old Name
W11873536,"SONA, LLC",Active
D03002276,SONA AUTO CARE INCORPORATED,Forfeited
F17093949,SONABANK,Incorporated
D10731941,"THE SONABA YOUTH FOUNDATION, INC.",Forfeited
T00312636,SONA BIZ,Forfeited
D07467723,"SONABIZ, INC.",Forfeited
W12088647,"SONABIZ, LLC",Forfeited
W13372255,"SONA CHANDI JEWELERS, LLC",Forfeited
D10483022,SONA CONSULTING INCORPORATED,Forfeited
W15869084,"SON ACUPUNCTURE, LLC",Active
T00274161,SONADDA MOTORS,Forfeited
W14339618,"SONADOR, LLC",Revived
W17849951,SONADO STUDIOS LLC,Dissolved
D05920509,"SONA-EBR, INC.",Forfeited
D05589734,SONA ENTERPRISES INC.,Forfeited
D00608877,"SONA ENTERPRISES, INC.",Forfeited
W16984726,"SONAFIS, LLC",Active
D06368559,SONA GOLD INC.,Forfeited
T00212461,SONA GRAPHICS,Active
D10206084,"SONA GRAPHICS, INC.",Incorporated
D06445480,"SONA HOMES, INC.",Forfeited
D12655668,"SONA INTERNATIONAL, INC.",Incorporated
D05873336,"SONA INTERNATIONAL, INC.",Forfeited
W18350520,"SONA INVESTORS, LLC",Active
W11605409,"SONAJ TRAVELS, LLC",Forfeited
D04404703,SONAKO CORP.,Forfeited
D02363380,"SONAL, INC.",Forfeited
D19258904,SONALAY COURT MAINTENANCE CORPORATION,Incorporated
D01530526,"SONALCO, INC.",Forfeited
D04296596,"SONALCO ASSOCIATES, INC.",Forfeited
D18663369,"SONAL G. PATEL M.D., A PROFESSIONAL CORPORATION",Incorporated
D03391349,"SONALI, CORP.",Forfeited
W19067578,SONALI L.L.C.,Active
T00074581,SONALI BOUTIQUE & SILK HOUSE,Forfeited
F14492938,SONALI EXCHANGE CO. INC,Revived
F07251762,"SONALYSTS, INC.",Incorporated
W18798678,"SONAM, LLC",Active
D18349720,SONAMARK CORP,Incorporated
T00219472,SONA MED SPA,Forfeited
D01421072,SONAMI CORPORATION,Forfeited
D10593994,"SONAMOO, INC.",Forfeited
D07447006,"SONAMU, INC.",Incorporated
T00250171,SONAMY PAINTING,Forfeited
W11549755,"SONAMY PAINTING COMPANY, LLC",Forfeited
W11588530,SONA NETWORKS LLC,Active
T00309482,SONAPAT,Active
W13191598,SONAPAT LLC,Active
W17387333,"SONAR, LLC",Forfeited
W11041274,SONARA GROUP LLC,Dissolved
D04290235,"SONARA INTERNATIONAL, INC.",Forfeited
D04878351,"SONAR BANGLA, INC.",Forfeited
W17861329,"SONARCH MEDIA COMPANY, LLC",Active
D03872207,SONARC INVESTMENT CORPORATION,Forfeited
M02077584,SONARC PROPERTIES LIMITED PARTNERSHIP,Forfeited
W11024221,"SONARE, LLC",Dissolved
T00361114,SONAR NIGHT CLUB,Active
D03542800,"SONA ROOH ASSOCIATES, INC.",Dissolved
W18296590,"SONAR STUDIOS, LLC",Active
D14905202,SONAS INC.,Forfeited
W11657293,"SONAS, LLC",Forfeited
W05638945,"SONASE, L.L.C.",Revived
W12292272,"SONA & SEGA, LLC",Forfeited
