Entity,Name Type
"3 DAUGHTERS, LLC",LEGAL
"ABBA & DAUGHTER, INC.",LEGAL
"ARNOLD AND DAUGHTER, INC.",LEGAL
"BASTON & DAUGHTERS, INC.",LEGAL
BOB WHITEHOUSE & DAUGHTER,LEGAL
"CARL DAVIS & DAUGHTERS TRUCKING, INC.",LEGAL
"CASPER'S GRANDDAUGHTER EAGLE EYES, LLC",LEGAL
"CMK & DAUGHTERS, LLC",LEGAL
DAUGHTERS L.L.C.,LEGAL
DAUGHTERS OF CHANGE,ASSUMED
DAUGHTERS OF WISDOM,LEGAL
"DAUGHTERS, INC.",LEGAL
"DM FURTADO & DAUGHTER, LLC",LEGAL
DOUG WHITNEY & DAUGHTERS,LEGAL
DUTIFUL DAUGHTER LLC,LEGAL
ELIZABETH WADSWORTH CHAPTER OF THE NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,LEGAL
"ELIZABETH WADSWORTH CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",FORMER
"FITZGERALD, SONS & DAUGHTER TRUCKING, INC.",LEGAL
"FORT HALIFAX CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION",LEGAL
FRED PERRY & DAUGHTERS WELL DRILLING,ASSUMED
"FRED PERRY & DAUGHTERS, INC.",FORMER
"FRIENDS OF THAI DAUGHTERS, INC.",LEGAL
"GUS'S DAUGHTER'S GROCERY, INC.",LEGAL
H.H. SAWYER REALTY COMPANY & DAUGHTERS,ASSUMED
HANNAH WESTON CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,LEGAL
"JOHN MARR & DAUGHTERS TRUCKING, INC.",LEGAL
"JOHN MORRISON & DAUGHTERS, INC.",LEGAL
"JOHNSON & DAUGHTER, INC.",LEGAL
"KINNEY & DAUGHTERS, INC.",LEGAL
"LEON PERRY & DAUGHTERS CONSTRUCTION, INC.",LEGAL
"M. J. OUELLETTE & DAUGHTERS, INC.",LEGAL
MACDONALD & DAUGHTER TRANSPORTATION COMPANY,LEGAL
"MAINE FARMER'S DAUGHTER, LLC",LEGAL
MAINE STATE ORGANIZATION DAUGHTERS OF THE AMERICAN REVOLUTION,LEGAL
MAINE STATE ORGANIZATION DAUGHTERS OF THE REVOLUTION,FORMER
MARY KELTON DUMMER PATIENCE STANLEY CHAPTER DAUGHTERS OF THE AMERICAN REVELUTION,FORMER
MIDDLE DAUGHTER LLC,LEGAL
MIKE JAMESON & DAUGHTERS EXCAVATION LLC,LEGAL
OSGOOD & DAUGHTER INC.,LEGAL
"P. BURPEE AND DAUGHTERS, INC.",LEGAL
"PARTANEN & DAUGHTERS, INC.",LEGAL
"PELLETIER AND DAUGHTERS CONSTRUCTION, INC.",LEGAL
"PERREAULT & DAUGHTERS CONSTRUCTION, INC.",LEGAL
R. J. BOIS & DAUGHTER,ASSUMED
"REBECCA EMERY CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",LEGAL
ROBERTS AND DAUGHTERS COUNTRY STORE INC.,LEGAL
SAMUEL GRANT - MARY KELTON DUMMER CHAPTER DAUGHTERS OF THE AMERICAN REVOLUTION,LEGAL
"SANDY & DAUGHTER, INC.",LEGAL
SCOTT LUCE AND SONS AND DAUGHTER TRUCKING INC,LEGAL
"THE FARMER'S DAUGHTER, INC.",LEGAL
"THE FARMERS' EIGHT DAUGHTERS, LLC",LEGAL
THE SONS AND DAUGHTERS OF THE COLONY OF NEW SWEDEN MAINE,LEGAL
"THREE DAUGHTERS, INC.",LEGAL
