Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
A. L. WILLIAMS/MELISSA A. JAMIESON,A012368,N/A,Inactive Expired,09/18/1986,,Assumed Business Name
MARCELLA E GRAYSON LCSW LAC,A175652,N/A,Inactive Expired,02/24/2010,,Assumed Business Name
KARI'S PROFITS & SONS,A134833,N/A,Inactive Expired,06/22/2006,,Assumed Business Name
PERSONALIZED COMPUTER SERVICE,A043581,N/A,"Inactive, Cancelled",12/14/1994,,Assumed Business Name
ROLLYSON FENCING,A176531,N/A,Inactive Expired,03/16/2010,,Assumed Business Name
ANDERSON LAWN CARE SERVICE,A226164,N/A,"Inactive, Cancelled",04/24/2014,Assumed Business Name,
WILSON'S VIDEO,A142893,N/A,Inactive Expired,03/15/2007,Assumed Business Name,
POLSON HARDWOOD FLOORS,A205928,N/A,Inactive Expired,08/10/2012,Assumed Business Name,
RIVER SONG PHOTOGRAPHY,A132293,N/A,Inactive Expired,04/06/2006,Assumed Business Name,
TOWNSEND PERSONAL CARE,A040061,N/A,"Inactive, Cancelled",05/02/1994,Assumed Business Name,
