Name,Secretary of State Account Number,Type,Status, 
"ALBERT'S DAUGHTER ENTERPRISES, L.L.C.",10265499,Domestic LLC,Inactive,
"BEAUTIFUL DAUGHTERS HAIR, LLC",10223810,Domestic LLC,Inactive,
DADANDDAUGHTERBUYHOUSES.COM,10261788,Trade Name,Active,
"DAUGHTER & SONS, INC.",1402891,Domestic Corp,Inactive,
"DAUGHTER'S HEARTLAND, LLC",10160525,Reservation of Limited Liability Company Name,Inactive,
DAUGHTERS OF GOD MINISTRY,10202564,Non Profit (Dom) Corp,Active,
DAUGHTERS OF THE ETERNAL FATHER,10008439,Non Profit (Dom) Corp,Active,
DAUGHTERS OF UNION VETERANS OF THE CIVIL WAR OF 1861 - 1865,203440,Non Profit (Dom) Corp,Active,
"DAUGHTERS OF UNION VETERANS OF THE CIVIL WAR, TENT #7 LINCOLN, NEBRASKA",1215506,Non Profit (Dom) Corp,Active,
"DAUGHTERS' HEARTLAND, LLC",10161352,Domestic LLC,Active,
"DAUGHTERS' OF THE NILE, L.L.C.",10154299,Domestic LLC,Active,
"FARMER'S DAUGHTER, L.L.C.",10178943,Domestic LLC,Active,
FARMER'S DAUGHTERS CLEANING,10196817,Trade Name,Inactive,
"FARMERS DAUGHTER CAFE, L.L.C.",10197805,Domestic LLC,Active,
FAZ & DAUGHTER CORPORATION,729310,Domestic Corp,Inactive,
"FIVE DAUGHTERS, LLC",10178102,Domestic LLC,Active,
FOUR DAUGHTERS FARMING LLC,10173821,Domestic LLC,Active,
"FOUR DAUGHTERS OF L & M, L.L.C.",1810014364,Domestic LLC,Active,
"HEREDITARY SOCIETY OF THE DAUGHTERS OF THE FOUNDING FATHERS OF AMERICA, INC.",10129237,Non Profit (Dom) Corp,Inactive,
HURLBERT DAUGHTERS ENTERPRISES LLC,10213122,Domestic LLC,Active,
JOB'S DAUGHTERS INTERNATIONAL,10010796,Non Profit (Dom) Corp,Active,
"JOB'S DAUGHTERS INTERNATIONAL, GRAND GUARDIAN COUNCIL OF NEBRASKA, INC.",1621703,Non Profit (Dom) Corp,Active,
"L & M THREE DAUGHTERS, L.L.C.",1810014367,Domestic LLC,Active,
"MARSHALL DAUGHTERS, LLC",10252933,Domestic LLC,Active,
MOTHER & DAUGHTER CLEANING,10078839,Trade Name,Inactive,
MOTHER & DAUGHTER CLEANING LLC,10089598,Domestic LLC,Inactive,
"MOTHER & DAUGHTER'S CAKE ART, L.L.C.",10193538,Domestic LLC,Active,
"MOTHER & DAUGHTER, INC.",10020421,Domestic Corp,Inactive,
MY DAUGHTERS LLC,10254278,Domestic LLC,Inactive,
NEPTUNES DAUGHTER PROPERTIES,1905160218,Domestic LLC,Active,
NEPTUNES DAUGHTER PROPERTIES LLC,10164431,Domestic LLC,Inactive,
"NORRENE'S DAUGHTERS, LLC",10226757,Domestic LLC,Active,
"OMAHA CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION",229202,Non Profit (Dom) Corp,Active,
ROSE'S DAUGHTERS,10239544,Domestic GP,Active,
SUPREME GUARDIAN COUNCIL OF THE INTERNATIONAL ORDER OF JOB'S DAUGHTERS,10077293,Fraternal Society,Active,
"THE CLOTHIERS DAUGHTERS, LLC",10179261,Domestic LLC,Active,
THE FARMER'S DAUGHTER,6788157,Trade Name,Inactive,
THE FARMER'S DAUGHTER,10116250,Trade Name,Inactive,
THREE DAUGHTERS BOUTIQUE,10219866,Trade Name,Active,
"THREE FARMER'S DAUGHTERS, L.L.C.",1902054860,Domestic LLC,Active,
"WILSON DAUGHTERS, LLC",10085586,Domestic LLC,Active,
