Business Name,Business ID,Homestate Name,Previous Name,Business Type,Principal Office Address,Registered Agent Name,Status
BLACK BEAR MASONRY,787982,,,Trade Name,"9 hopewell rd, Alton, NH, 03809, USA",,Rejected
"""ALISON'S STYLING SALON""",52777,,,Trade Name,"VILLAGE PLAZA, WOODSVILLE, NH, 03774, USA",,Expired
"""BUDS"" AT WILSON FARMS",243643,,,Trade Name,"144 CHARLES BANCROFT HWY, LITCHFIELD, NH, 03051, USA",,Expired
"""COOKS ON THE GO""",425971,,,Trade Name,"P.O. BOX 981 32 MARY ROWE DR., HILLSBOROUGH, NH, 03244, USA",,Expired
"""DIX DISTRIBUTING, A DIVISION OF JOHNSON & DIX FUEL CORP.""",22950,,,Trade Name,"1 MAPLE STREET, HANOVER, NH, 03755, USA",,Expired
"""FOR SINGLES ONLY""",226685,,,Trade Name,"504 KENNARD RD, MANCHESTER, NH, 03104, USA",,Expired
"""FOUR SEASONS SALAD COMPANY""",30706,,,Trade Name,"FAIR & WATER ST, LACONIA, NH, 03246, USA",,Expired
"""GIFTS ON THE GO""",236519,,,Trade Name,"621 D W HWY, MERRIMACK, NH, 03054, USA",,Expired
"""HANSON STREET PROFESSIONAL BUILDING""",30550,,,Trade Name,"HANSON STREET, ROCHESTER, NH, 03867, USA",,Expired
"""HUDSON 48ER'S BASEBALL CLUB"".",140798,,HUDSON FALCONS BABE RUTH BASEBALL,Domestic Nonprofit Corporation,"3B Hedgerow Drive, Hudson, NH, 03051, USA",,Dissolved
"""HUDSON 48ER'S BASEBALL CLUB"".",140798,,MERRIMACK VALLEY BABE RUTH LEAGUE,Domestic Nonprofit Corporation,"3B Hedgerow Drive, Hudson, NH, 03051, USA",,Dissolved
"""IN THE ZONE"" PERSONAL TRAINING",305880,,,Trade Name,"50 SARGENT STREET, N. WOODSTOCK, NH, 03262, USA",,Expired
"""JOHNSON'S PROTECTION SERVICE""",216501,,,Trade Name,"PO BOX 16039, HOOKSETT, NH, 03106, USA",,Expired
"""M.J. MURPHY & SONS""",79138,,,Trade Name,"12 PORTLAND AVENUE, DOVER, NH, 03820, USA",,Expired
"""MS & SONS"" HEATING AND OUTDOOR SERVICES",195476,,,Trade Name,"210 BABOOSIC LAKE ROAD, MERRIMACK, NH, 03054, USA",,Active
"""NICHOLSON INSURANCE AGENCY""",42499,,,Trade Name,"44 BRIDGE ST., MANCHESTER, NH, 03100, USA",,Expired
"""PARSONS CORNER ASSOCIATES""",99468,,,Trade Name,"152 W SALISBURY RD, SALISBURY, NH, 03268, USA",,Expired
"""PATTERSON CONSTRUCTION, INC.""",166504,,"J & S PATTERSON, INC.",Domestic Profit Corporation,"26 WRIGHT AVE PO BOX 393, MERRIMACK, NH, 03054, USA","Patterson, Steve D.",Good Standing
"""PERSONAL TOUCH FIT SYSTEM""",230336,,,Trade Name,"82 WASHINGTON ST, LITTLETON, NH, 03561, USA",,Expired
"""PERSONAL TOUCH REALTY""",455768,,,Trade Name,"30 BAYBERRY LANE, MANCHESTER, NH, 03104, USA",,Expired
"""Plans On The Web""",602520,,,Trade Name,"50 Bridge St, Nashua, NH, 03060, USA",,Expired
"""SEASONAL EMPLOYMENT SOLUTIONS, LLC""",456364,,"HIRING STRATEGIES, LLC",Domestic Limited Liability Company,"PO Box 968, Center Harbor, 03226, ALB","Cohen, Jayne L",Dissolved
"""TEMPORARY OFFICE PERSONNEL""",322980,,,Trade Name,"65 RIDGE AVENUE, CLAREMONT, NH, 03743, USA",,Expired
"""THE HAMPTONS, A SEASONAL RESORT PARK""",112438,,,Trade Name,"203 LAFAYETTE RD, NO. HAMPTON, NH, 03862, USA",,Expired
"""THE RICHARDSON FAMILY LIMITED PARTNERSHIP""",319206,,,Domestic Limited Partnership,"103 PETERBOROUGH RD, Hancock, NH, 03449, USA","PRISCILLA W. RICHARDSON,",Active
"""THE SUSTAINABILITY PROJECT INC.""",340961,,THE EMERSON BROOK FOREST SUSTAINABILITY PROJECT,Domestic Nonprofit Corporation,"79 Emerald Street, Keene, NH, 03431, USA",,Good Standing
"""THE TRAILS AT JACKSON""",105172,,,Trade Name,"ROUTE 302, BARTLETT, NH, 03812, USA",,Expired
"""TREMBLAY & SON HEATING, INC.""",218951,,"TREMBLAY & SON PLUMBING & HEATING, INC.",Domestic Profit Corporation,"40 Old Milton Rd., Rochester, NH, 03868, USA","Metivier, Ryan J",Admin Dissolution
"""WINDSONG ACRES""",74635,,,Trade Name,"SOUTH SUMMER STREET, NOTTINGHAM, NH, 03290, USA",,Expired
#FuggLyfe LLC,733693,,Poe's Poison LLC,Domestic Limited Liability Company,"20 Canal St #205, Franklin, NH, 03235, USA",Geyser Bradley,Administratively Dissolved Name Protection
(BIP) BACK IMPAIRED PERSON,72694,,,Domestic Nonprofit Corporation,"% RAYMOND COTE 528 GOLD ST., MANCHESTER, NH, 03103, USA",,Dissolved
(PCI) PERSONAL COMPUTER INNOVATIONS,308495,,,Trade Name,"156 COLBURN RD, MILFORD, NH, 03055, USA",,Expired
