"Entity#","Name","Type","Filing Date","Exp. Date","Status","Location","County","State","View Report"
"1668146","""LIKE MOTHER, LIKE DAUGHTER CREATIONS""","REGISTERED TRADE NAME","12/21/2006","12/21/2011","Cancelled","--","-","-","SHOW DETAILS"
"4249643","A DAUGHTER’S TOUCH","REGISTERED TRADE NAME","10/31/2018","10/31/2023","Active","--","-","-","SHOW DETAILS"
"4314028","ABBA'S DAUGHTER APPAREL, LTD.","DOMESTIC LIMITED LIABILITY COMPANY","03/31/2019","-","Active","--","-","-","SHOW DETAILS"
"1256843","BISHOP SONS & DAUGHTER, INC.","CORPORATION FOR PROFIT","10/01/2001","-","Active","HEBRON-","LICKING","-","SHOW DETAILS"
"2264538","CAFE DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/27/2014","-","Dead","--","-","-","SHOW DETAILS"
"RN119708","CHARLOTTE'S DAUGHTER","REGISTERED TRADE NAME","03/13/1989","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"1907894","COPLA'S DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/20/2010","-","Active","--","-","-","SHOW DETAILS"
"2400585","DAD AND DAUGHTER PHOTOGRAPHY, LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/04/2015","-","Active","--","-","-","SHOW DETAILS"
"487868","DAD AND DAUGHTER VARIETY STORE, INC.","CORPORATION FOR PROFIT","10/07/1976","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"2286444","DADDY DAUGHTER JUICING, LLC","DOMESTIC LIMITED LIABILITY COMPANY","04/11/2014","-","Active","--","-","-","SHOW DETAILS"
"FN63276","DAUGHTER & DUDA TRUCKING","FICTITIOUS NAMES","09/01/1993","09/30/1999","Cancelled","--","-","-","SHOW DETAILS"
"858856","DAUGHTER & DUDA TRUCKING, INC.","CORPORATION FOR PROFIT","12/07/1993","-","Dead","COLUMBUS","FRANKLIN","OHIO","SHOW DETAILS"
"4276716","DAUGHTER & SONS HORSTMAN, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/08/2019","-","Active","--","-","-","SHOW DETAILS"
"659278","DAUGHTER DEVELOPMENT COMPANY","CORPORATION FOR PROFIT","07/25/1985","-","Cancelled","DUBLIN","FRANKLIN","OHIO","SHOW DETAILS"
"1979177","DAUGHTER FOR HIRE","REGISTERED TRADE NAME","11/29/2010","11/29/2015","Cancelled","--","-","-","SHOW DETAILS"
"4023281","DAUGHTER OF A KING PROJECT LLC","DOMESTIC LIMITED LIABILITY COMPANY","04/28/2017","-","Active","--","-","-","SHOW DETAILS"
"4383301","DAUGHTER OF OSHUN & CO.","CORPORATION FOR PROFIT","09/24/2019","-","Active","AKRON-","SUMMIT","-","SHOW DETAILS"
"3894935","DAUGHTER OF THE KING PHOTOGRAPHY","REGISTERED TRADE NAME","04/22/2016","04/22/2021","Active","--","-","-","SHOW DETAILS"
"1645572","DAUGHTER OF THE KING PRODUCTIONS, INC.","CORPORATION FOR PROFIT","08/31/2006","-","Cancelled","COLUMBUS-","FRANKLIN","-","SHOW DETAILS"
"1540839","DAUGHTER OF THUNDER DESIGNS","FICTITIOUS NAMES","05/06/2005","05/06/2020","Active","--","-","-","SHOW DETAILS"
"1232985","DAUGHTER OF THUNDER, INC.","CORPORATION FOR NON-PROFIT","06/04/2001","06/04/2006","Cancelled","COLUMBUS-","FRANKLIN","-","SHOW DETAILS"
"2309054","DAUGHTER WITH A DIVINE PURPOSE","CORPORATION FOR NON-PROFIT","07/07/2014","07/07/2019","Held","CINCINNATI-","HAMILTON","-","SHOW DETAILS"
"4325044","DEAR DAUGHTER: QUEENS ALIGNED","CORPORATION FOR NON-PROFIT","04/30/2019","04/30/2024","Active","EUCLID-","CUYAHOGA","-","SHOW DETAILS"
"3950829","EVERS & DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","10/16/2016","-","Active","--","-","-","SHOW DETAILS"
"2437997","FAITH MINERS DAUGHTER","REGISTERED TRADE NAME","10/17/2015","10/17/2020","Active","--","-","-","SHOW DETAILS"
"4083256","FARMER'S DAUGHTER 70, LLC","DOMESTIC LIMITED LIABILITY COMPANY","10/13/2017","-","Active","--","-","-","SHOW DETAILS"
"1659435","FATHERS DAUGHTER","REGISTERED TRADE NAME","11/08/2006","11/08/2011","Cancelled","--","-","-","SHOW DETAILS"
"4348023","HELICOPTER DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/17/2019","-","Active","--","-","-","SHOW DETAILS"
"4314499","HENDRICKS & DAUGHTER MUFFLER & BRAKES LLC","DOMESTIC LIMITED LIABILITY COMPANY","04/01/2019","-","Active","--","-","-","SHOW DETAILS"
"2445881","HIS DAUGHTER LLC","REGISTERED TRADE NAME","11/13/2015","11/13/2020","Active","--","-","-","SHOW DETAILS"
"2449381","HIS DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/25/2015","-","Active","--","-","-","SHOW DETAILS"
"1771367","KINGDOM DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","04/03/2008","-","Active","--","-","-","SHOW DETAILS"
"2212250","KINGS DAUGHTER DANCE MINISTRIES","CORPORATION FOR NON-PROFIT","07/03/2013","07/03/2018","Cancelled","WESTERVILLE-","DELAWARE","-","SHOW DETAILS"
"1298251","LAWRENCE J. SMITH DAUGHTER & SON, INC.","CORPORATION FOR PROFIT","02/13/2002","-","Cancelled","RICHMOND HEIGHTS-","CUYAHOGA","-","SHOW DETAILS"
"RN231137","LIKE MOTHER...LIKE DAUGHTER","REGISTERED TRADE NAME","03/31/1997","03/31/2002","Cancelled","--","-","-","SHOW DETAILS"
"2324516","MAC & DAUGHTER AUTO PARTS LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/04/2014","-","Active","--","-","-","SHOW DETAILS"
"1140417","MAJOR & DAUGHTER LAWN CARE, INC.","CORPORATION FOR PROFIT","02/17/2000","-","Active","COLUMBUS-","FRANKLIN","-","SHOW DETAILS"
"1154256","MAMA'S DAUGHTER PRESS","REGISTERED TRADE NAME","05/09/2000","05/09/2005","Cancelled","--","-","-","SHOW DETAILS"
"1232842","MARK LEGGUE AND DAUGHTER, INC.","CORPORATION FOR PROFIT","05/21/2001","-","Cancelled","CIRCLEVILLE-","PICKAWAY","-","SHOW DETAILS"
"545409","MONCRIEF AND DAUGHTER, INCORPATED","CORPORATION FOR PROFIT","11/19/1979","-","Cancelled","COLUMBUS","FRANKLIN","OHIO","SHOW DETAILS"
"2433003","MOSHOLDER & DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/29/2015","-","Active","--","-","-","SHOW DETAILS"
"1260649","MOTHER AND DAUGHTER CLEANING","FICTITIOUS NAMES","10/15/2001","10/15/2006","Cancelled","--","-","-","SHOW DETAILS"
