"Entity#","Name","Type","Filing Date","Exp. Date","Status","Location","County","State","View Report"
"RN1269","""ADOPT A SOLDIER, SON""","REGISTERED TRADE NAME","03/09/1942","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"195053","""OTTO C. BUEHLER AND SON INC.""","CORPORATION FOR PROFIT","05/22/1946","-","Dead","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"790135","""SON"" LIGHT GOSPEL MINISTRY","CORPORATION FOR NON-PROFIT","02/04/1991","03/01/1996","Cancelled","HUBER HTS.","MONTGOMERY","OHIO","SHOW DETAILS"
"159459","""WILLIAM GUENTTER AND SON, INC.""","CORPORATION FOR PROFIT","05/26/1934","-","Cancelled","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"2331227","1 SON","REGISTERED TRADE NAME","09/30/2014","09/30/2019","Cancelled","--","-","-","SHOW DETAILS"
"4400242","3 DAUGHTERS AND A SON, LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/05/2019","-","Active","--","-","-","SHOW DETAILS"
"4004593","3 SON LSM PROPERTIES, LLC","DOMESTIC LIMITED LIABILITY COMPANY","03/15/2017","-","Active","--","-","-","SHOW DETAILS"
"2136660","3RD SON STUDIOS, LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/17/2012","-","Active","--","-","-","SHOW DETAILS"
"1165720","7RED ROBINSON & SON CONCRETE & MASONRY","REGISTERED TRADE NAME","05/11/2000","05/11/2005","Cancelled","--","-","-","SHOW DETAILS"
"2415503","7TH SON REMODELING","REGISTERED TRADE NAME","07/29/2015","07/29/2020","Active","--","-","-","SHOW DETAILS"
"2435265","A CARPENTER'S SON DESIGN CO., LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/06/2015","-","Active","--","-","-","SHOW DETAILS"
"3923474","A GAMER AND SON","REGISTERED TRADE NAME","07/14/2016","07/14/2021","Active","--","-","-","SHOW DETAILS"
"1790066","A W ASHLEY & SON, LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/26/2008","-","Active","--","-","-","SHOW DETAILS"
"163256","A. A. TICKNER & SON, INC.","CORPORATION FOR PROFIT","06/13/1935","-","Cancelled","SAYBROOK TWP","ASHTABULA","OHIO","SHOW DETAILS"
"590158","A. AL HORNYAK AND SON ELECTRIC SEWER CLEANING CO.","CORPORATION FOR PROFIT","02/23/1982","-","Cancelled","LAKEWOOD","CUYAHOGA","OHIO","SHOW DETAILS"
"265497","A. B. GRAFTON & SON, INC.","CORPORATION FOR PROFIT","08/14/1957","-","Cancelled","MANSFIELD","RICHLAND","OHIO","SHOW DETAILS"
"RN80710","A. BALE & SON TRAVEL SERVICE","REGISTERED TRADE NAME","11/19/1984","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"544019","A. C. STEPHEN AND SON HEATING AND AIR CONDITIONING INC.","CORPORATION FOR PROFIT","10/25/1979","-","Cancelled","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"239783","A. CARROSCIA & SON, INC.","CORPORATION FOR PROFIT","04/29/1954","-","Cancelled","WICKLIFFE","LAKE","OHIO","SHOW DETAILS"
"336539","A. D. CHANDLER AND SON CO.","CORPORATION FOR PROFIT","01/06/1965","-","Cancelled","MILFORD","CLERMONT","OHIO","SHOW DETAILS"
"403944","A. E. ASEBROOK & SON, INC.","CORPORATION FOR PROFIT","11/12/1970","-","Cancelled","SPRINGFIELD","CLARK","OHIO","SHOW DETAILS"
"366711","A. EDELSTEIN & SON, INC.","CORPORATION FOR PROFIT","12/06/1967","-","Dead","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"136229","A. EDELSTIEN & SON INC.","CORPORATION FOR PROFIT","04/19/1929","-","Dead","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"1046856","A. G. BOOGHER & SON, INC.","CORPORATION FOR PROFIT","12/07/1998","-","Active","WAPAKONETA-","LOGAN","-","SHOW DETAILS"
"164229","A. J. BROWN & SON INC","FOREIGN CORPORATION","09/23/1935","-","Cancelled","null","Conversion","MICHIGAN","SHOW DETAILS"
"609182","A. J. BUCK & SON, INC.","FOREIGN CORPORATION","02/22/1983","-","Dead","-","-","MARYLAND","SHOW DETAILS"
"530790","A. J. HOWARD & SON CONSTRUCTION CO., INC.","CORPORATION FOR PROFIT","02/20/1979","-","Cancelled","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"1255176","A. J. LASTRA & SON WOODCRAFTS","REGISTERED TRADE NAME","09/26/2001","09/26/2006","Cancelled","--","-","-","SHOW DETAILS"
"860939","A. J. MORRIS & SON, INC.","CORPORATION FOR PROFIT","12/28/1993","-","Cancelled","VANDALIA","MONTGOMERY","OHIO","SHOW DETAILS"
"286022","A. KAPLEN & SON, LTD.","FOREIGN CORPORATION","12/07/1959","-","Cancelled","null","Conversion","NEW JERSEY","SHOW DETAILS"
"266259","A. KUTASH & SON INSURANCE","CORPORATION FOR PROFIT","09/19/1957","-","Cancelled","SOUTH EUCLID","CUYAHOGA","OHIO","SHOW DETAILS"
"346836","A. L. ALDREDGE & SON, INC.","CORPORATION FOR PROFIT","01/04/1966","-","Cancelled","DAYTON","MONTGOMERY","OHIO","SHOW DETAILS"
"296526","A. L. BECHTEL AND SON, INC.","CORPORATION FOR PROFIT","01/03/1961","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"FN865","A. L. FLACK & SON","FICTITIOUS NAMES","12/02/1977","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"266499","A. LINDER & SON, INC.","CORPORATION FOR PROFIT","09/30/1957","-","Dead","DAYTON","MONTGOMERY","OHIO","SHOW DETAILS"
"346341","A. M. WEEKLEY & SON, INC.","CORPORATION FOR PROFIT","12/23/1965","-","Cancelled","BUTLER","BUTLER","OHIO","SHOW DETAILS"
"585487","A. MAROTTA & SON, INC.","CORPORATION FOR PROFIT","11/23/1981","-","Active","SOLON","CUYAHOGA","OHIO","SHOW DETAILS"
"869846","A. MENDOLERA & SON PRODUCE, INC.","CORPORATION FOR PROFIT","04/18/1994","-","Active","PEPPER PIKE","CUYAHOGA","OHIO","SHOW DETAILS"
"703398","A. MERCADANTE & SON WATERPROOFING, INC.","CORPORATION FOR PROFIT","06/18/1987","-","Dead","WILLOUGHBY HILLS","LAKE","OHIO","SHOW DETAILS"
"442139","A. MINDEL & SON EXPORT, INC.","CORPORATION FOR PROFIT","07/19/1973","-","Dead","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"FN74319","A. MINDEL & SON, INC.","FICTITIOUS NAMES","06/30/1996","06/30/2006","Cancelled","--","-","-","SHOW DETAILS"
"260407","A. MINDEL & SON, INC.","CORPORATION FOR PROFIT","01/04/1957","-","Dead","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"540769","A. MITCHELL & SON ROOFING, INC.","CORPORATION FOR PROFIT","08/21/1979","-","Cancelled","ELMWOOD PLACE","HAMILTON","OHIO","SHOW DETAILS"
"422367","A. R. HUFFMAN & SON, INC.","CORPORATION FOR PROFIT","03/17/1972","-","Cancelled","MARIETTA","WASHINGTON","OHIO","SHOW DETAILS"
"299050","A. RICHARDS & SON, INC.","CORPORATION FOR PROFIT","03/24/1961","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"98543","A. SCHRADER'S SON, INC. OF OHIO","FOREIGN CORPORATION","09/22/1921","-","Dead","null","Conversion","DELAWARE","SHOW DETAILS"
"238168","A. SILL & SON BUILDERS, INC.","CORPORATION FOR PROFIT","02/05/1954","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"164707","A. T. LAMPUS & SON, INC.","CORPORATION FOR PROFIT","11/08/1935","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"514430","A. TENER'S SON, INC.","CORPORATION FOR PROFIT","04/13/1978","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"368651","A. TOMASONE & SON CEMENT CONTRACTORS, INCORPORATED","CORPORATION FOR PROFIT","02/05/1968","-","Cancelled","MAPLE HTS","CUYAHOGA","OHIO","SHOW DETAILS"
"1584750","A. TRADOR & SON TRUCKING, LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/28/2005","-","Active","--","-","-","SHOW DETAILS"
"755563","A. W. FARRELL & SON INC.","FOREIGN CORPORATION","08/15/1989","-","Active","-","-","NEW YORK","SHOW DETAILS"
"270482","A. W. ROBERTS & SON, INC.","CORPORATION FOR PROFIT","04/08/1958","-","Cancelled","SANDUSKY","ERIE","OHIO","SHOW DETAILS"
"679234","A. WEISS & SON, INC.","CORPORATION FOR PROFIT","06/12/1986","-","Active","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"762054","A. WOLFE AND SON, INC.","CORPORATION FOR PROFIT","12/04/1989","-","Active","MILAN TWP.","ERIE","OHIO","SHOW DETAILS"
