Control #,Entity Type,Name,Name Type,Name Status,Entity Filing Date,Entity Status
50060,CORP,AFRO-AMERICAN SONS AND DAUGHTERS,Entity,Inactive,11008,Inactive - Dissolved (Administrative)
56416,CORP,AMERICAN BAND OF DAUGHTERS FAIRVIEW LODGE NO.1,Entity,Inactive,9334,Inactive - Revoked (Revenue)
56416,CORP,"AMERICAN BAND OF DAUGHTERS, SUPREME LODGE NO.1",Entity,Inactive,9334,Inactive - Revoked (Revenue)
71922,NCORP,DAUGHTERS OF THE BRITISH EMPIRE STATE OF TENNESSEE,Entity,Active,10349,Active
71926,CORP,"DAUGHTERS OF ZION, THE",Entity,Inactive,14333,Inactive - Revoked (Revenue)
72015,NCORP,DAVIDSON COUNTY UNION OF THE KINGS DAUGHTERS,Entity,Inactive - Name Changed,8305,Inactive - Terminated
72015,NCORP,DAVIDSON COUNTY UNION OF THE KINGS DAUGHTERS & SONS,Entity,Inactive,8305,Inactive - Terminated
76947,NCORP,"KING'S DAUGHTERS DAY HOME (THE) ("""")",Entity,Active,23833,Active
76947,NCORP,THE KING'S DAUGHTERS CHILD DEVELOPMENT CENTER,Assumed,Active,23833,Active
76950,NCORP,KING'S DAUGHTERS' HOSPITAL OF MAURY COUNTY (THE),Entity,Inactive,4112,Active
76950,NCORP,"KING'S DAUGHTERS' SCHOOL OF MAURY COUNTY, TENNESSEE",Entity,Active,4112,Active
81643,CORP,KNIGHTS & DAUGHTERS OF JACOB,Entity,Inactive,9329,Inactive - Dissolved (Administrative)
83726,CORP,"JOHN SEVIER CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION",Entity,Inactive,13738,Inactive - Revoked (Revenue)
84181,CORP,SONS & DAUGHTERS OF CHARITY,Entity,Inactive,14427,Inactive - Revoked (Revenue)
84185,CORP,SONS AND DAUGHTERS OF CHARITY NO. 2,Entity,Inactive,20837,Inactive - Revoked (Revenue)
84216,CORP,SONS AND DAUGHTERS OF JOSHUA (ILL.),Entity,Inactive,9210,Inactive - Revoked (Revenue)
84232,CORP,SONS AND DAUGHTERS OF THE GOLDEN CIRCLE (THE),Entity,Inactive,13719,Inactive - Revoked (Revenue)
86349,CORP,UNITED SONS AND DAUGHTERS OF FREEDOM OF TENNESSEE (THE),Entity,Inactive,11517,Inactive - Revoked (Revenue)
87890,CORP,YOUNG SONS AND DAUGHTERS' UNION BAND CHARITY CLUB #1,Entity,Inactive,19842,Inactive - Revoked (Revenue)
95714,NCORP,"HOME FOR INCURABLES, FOUNDED BY THE KING'S DAUGHTERS AND SONS OF>",Entity,Inactive,2917,Active
95714,NCORP,KING'S DAUGHTERS AND SONS HOME (THE),Entity,Active,2917,Active
