Business Name,Business ID,Business Type,Principal Business Office Address,Registered Agent Name,Fiscal Year Month,Status
SWASEY AND SONS PLUMBING & HEATING,351286,Trade Name,"4322 VT RT 14, SO ROYALTON, VT, 05068, USA",JEROLD S SWASEY,,Active
'S CREAMS ON THE GREEN,235906,Trade Name,"MAIN ST, DANVILLE, VT, 05828, USA",NONE,,Inactive
#NAME?,300125,Trade Name,"3215 W GOVERNOR JOHN SEVIER HWY, KNOXVILLE, TN, 37920 - 5540, USA",C T CORPORATION SYSTEM,,Inactive
"1015 ROUTE 15 JOHNSON, LLC",37650,Domestic Limited Liability Company,"132 FOOTE BROOK RD/PO BO, JOHNSON, VT, 05656, USA",SCOTT MANSFIELD,12,Terminated
102 JACKSON AVENUE LLC,282457,Domestic Limited Liability Company,"c/o Lois Baldwin, 24 1/2 CENTER ST, RUTLAND, VT, 05701, USA","LOIS V. BALDWIN, ESQ.",12,Terminated
"11-11 PROPERTIES ON MAIN, LLC",13993,Domestic Limited Liability Company,NONE,THOMAS P MCHUGH,12,Active
"117 JOHNSON LOOP, LLC",306106,Domestic Limited Liability Company,"43 Woodland St, Sherborn, MA, 01770, USA",MATTHEW BIRMINGHAM III,12,Terminated
"1218 THOMPSONS POINT, LLC",31890,Foreign Limited Liability Company,"PO BOX 2263, SOUTH BURLINGT, VT, 05407, USA",STEPHEN P. MAGOWAN,12,Inactive
124 ATKINSON LLC,17757,Domestic Limited Liability Company,"118 ATKINSON ST, #2, BELLOWS FALLS, VT, 05101, USA",ERIC D NYSTROM,12,Inactive
"131 PARSONS ROAD, LLC",307879,Domestic Limited Liability Company,"131 PARSONS ROAD, COLCHESTER, VT, 05446, USA","Vermont Attorney Registered Agent Services, LLC",12,Dissolved
"149 EDISON STREET, INC.",60261,Foreign Profit Corporation,"1690 WALDEN AVENUE, BUFFALO, NY, USA",C T CORPORATION SYSTEM,10,Inactive
"149 EDISON STREET, INC.",79617,Foreign Profit Corporation,"1690 WALDEN AVENUE, BUFFALO, NY, 14225, USA",C T CORPORATION SYSTEM,10,Withdrawn
"1500 EDSON HILL HOLDINGS, LLC",292810,Domestic Limited Liability Company,"1500 Edson Hill Road, STOWE, VT, 05672, USA",Dinse P.C.,12,Active
"1500 EDSON HILL OPERATIONS, LLC",292811,Domestic Limited Liability Company,"1500 Edson Hill Road, Stowe, VT, 05672, USA",Dinse P.C.,12,Active
"16 FERGUSON AVENUE, LLC",282728,Domestic Limited Liability Company,"c/o Hatch Law & Consulting, 89 South Main Street #1, Waterbury, VT, 05676, USA","KATHERINE O'NEILL, ESQ.",12,Active
16-18 JOHNSON ST LLC,19759,Domestic Limited Liability Company,"34 Wright Court, South Burlington, VT, 05403, USA",BRENT TRUCHON,12,Active
197 EDSON HILL LLC,358416,Domestic Limited Liability Company,"197 Edson Hill Road, Stowe, VT, 05672, USA","Elaine Nichols, Esq.",12,Active
199 EDSON HILL LLC,343241,Domestic Limited Liability Company,"199 Edson Hill Road, Stowe, VT, 05672, USA",NICHOLS & ASSOCIATES PC,12,Active
20 FERGUSON AVE. CONDOMINIUM ASSOCIATION LLC,327803,Domestic Limited Liability Company,"20 Ferguson Ave, Burlington, VT, 05401, USA",Vivian Esparza,1,Active
20 SUSIE WILSON LLC,13549,Domestic Limited Liability Company,"7 EWING PLACE, ESSEX, VT, 05452, USA",JAMES EWING,12,Dissolved
"20 SUSIE WILSON ROAD, LLC",288030,Domestic Limited Liability Company,"7 EWING PLACE, UNIT C, ESSEX JUNCTION, VT, 05452, USA","Vermont Attorney Registered Agent Services, LLC",12,Active
201 JOHNSON LLC,356046,Domestic Limited Liability Company,"14 Sunset Drive, Waterbury Center, VT, 05677, USA",VL Holding Company Inc,12,Active
21 NASON LLC,327827,Domestic Limited Liability Company,"4 Smith Drive, St Albans, VT, 05478, USA",James R CHARRON,12,Active
"22-24 RICHARDSON PLACE, LLC",8953,Domestic Limited Liability Company,"48 WOODSIDE DRIVE, COLCHESTER, VT, 05446, USA",STEVEN ST ARMOUR,12,Active
2236 SIMPSON BROOK RD LLC,348613,Domestic Limited Liability Company,"3616 Hale Road, Waterford, VT, 05819, USA",David Senio,12,Active
23-25 JOHNSON STREET LLC,316887,Domestic Limited Liability Company,"121 Holmes Road, South Burlington, VT, 05403, USA",Richard J. Fox,12,Active
"24 JEFFERSON ST, LLC",365165,Domestic Limited Liability Company,"1376 Clarendon Ave, West Rutland, VT, 05777, USA",JENNIFER FREDRECK,12,Active
26 SUSIE WILSON LLC,13550,Domestic Limited Liability Company,"7 EWING PLACE, ESSEX, VT, 05452, USA",JAMES EWING,12,Dissolved
"26 SUSIE WILSON ROAD, LLC",288031,Domestic Limited Liability Company,"7 EWING PLACE, UNIT C, ESSEX JUNCTION, VT, 05452, USA","Vermont Attorney Registered Agent Services, LLC",12,Active
"27 HUDSON ST, LLC",363150,Domestic Limited Liability Company,"508 lakewood Dr, Swanton, VT, 05488, USA","Burton Paquin, Jr",12,Active
"27 JOHNSON STREET, LLC",22918,Domestic Limited Liability Company,"45 SCHOOL ST, BURLINGTON, VT, 05401, USA",SUZANNE HEBELER,12,Inactive
"28 NASON STREET CONDOMINIUM OWNERS ASSOCIATION, INC.",76984,Domestic Non-profit Corporation,"28 NASON STREET , SAINT ALBANS, VT, 05478, USA",Robin Stark,,Active
"28 NASON STREET, LLC",15681,Domestic Limited Liability Company,"28 NASON STREET, ST. ALBANS, VT, 05478, USA","Vermont Attorney Registered Agent Services, LLC",12,Active
2842 THOMPSONBURG LLC,28441,Domestic Limited Liability Company,"1368 Outrigger Circle, Rockledge, FL, 32955, USA",JOSEPH J O'DEA ESQ,12,Active
"3 REASONS Y, LLC",4298,Domestic Limited Liability Company,"315 DEER RUN LANE, WAITSFIELD, VT, 05673, USA",ROBERT A YERKS,12,Inactive
"3 REASONS: HEALTH, LOVE, PLANET, LLC",38037,Domestic Limited Liability Company,"55 GOSSE CT, BURLINGTON, VT, 05408, USA",MEGAN HACK,12,Inactive
3 SONS BUILDING SERVICES LLC,365371,Domestic Limited Liability Company,"63 Engineers Dr, Williston, VT, 05495, USA",W. LeGrande,12,Active
3 SONS PROPERTY MAINTENANCE GROUP,194553,Trade Name,"6 GREGG LANE, COLCHESTER, VT, 05446, USA",NONE,,Inactive
"301 E. THOMPSONS POINT RD. HOLDINGS, LLC",328970,Domestic Limited Liability Company,"301 E Thompson's Point Rd., Charlotte, VT, 05445, USA",Gravel & Shea PC,12,Active
"32ND DEGREE MASONIC LEARNING CENTERS FOR CHILDREN, INC.",76127,Foreign Non-profit Corporation,"33 MARRETT RD, LEXINGTON, VT, 02421, USA",PETER G. HUNTSMAN,,Inactive
"37-39 HUDSON, LLC",37961,Domestic Limited Liability Company,"36 North Main St, ST ALBANS, VT, 05478, USA",GERALD L MUEHL,12,Active
"4 GENERATIONS MASONRY, LLC",3135,Domestic Limited Liability Company,"132 Rte 15, West Danville, VT, 05873, USA",DANA B ARMSTRONG,12,Active
"4 SEASON SPROUTS, LLC",345996,Domestic Limited Liability Company,"68 Eagle Lake Dr, Fair Haven, VT, 05743, USA",Jeffrey Jackson,12,Active
"4 SEASONS ACCOUNTING, LLC",1360,Domestic Limited Liability Company,"25 CURTIS AVE, RUTLAND, VT, 05702, USA",KAREN W ABARE,12,Active
